time,q0,q1,q2,q3,omega_x,omega_y,omega_z,Total_torque_x,Total_torque_y,Total_torque_z
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
1.0,0.999999997443435,5.2497931208125633e-05,3.389410976992428e-05,3.476041453769257e-05,0.000209991846385528,0.00013557804101872858,0.00013903993494747706,0.24999999999999994,0.25,0.24999999999999997
2.0,0.9999999590949521,0.00020999208560913314,0.00013558124322589658,0.0001390364867138405,0.00041998514891385537,0.0002711753031813272,0.00027805918912025384,0.25,0.25,0.25
3.0,0.9999997929181241,0.0004724835260134436,0.0003050758038658532,0.00031281269239870514,0.0006299813637073454,0.0004068110021795998,0.0004170370755935832,0.25,0.24999999999999997,0.25
4.0,0.9999993455187217,0.0008399739586585283,0.0005424017677752703,0.0005560631253788186,0.0008399819468468126,0.0005425043427984644,0.0005559528951449222,0.25,0.25,0.25
5.0,0.9999984021445208,0.0013124656355360152,0.0008475926389918232,0.0008687514483819153,0.001049988354349059,0.0006782745134556246,0.0006947859301107814,0.25,0.24999999999999997,0.25
6.0,0.9999966866852019,0.0018899612176436526,0.0012206913869785027,0.0012508308245534814,0.0012600020421423817,0.0008141406807329811,0.0008335154382504762,0.25,0.25,0.25
7.0,0.9999938616725088,0.002572463599156401,0.0016617503661678806,0.0017022438294266881,0.0014700244660393767,0.0009501219838970351,0.0009721206466190908,0.25,0.25,0.25
8.0,0.9999895282808844,0.003359975692509664,0.0021708312175296946,0.0022229223434395854,0.001680057081706362,0.0010862375294055351,0.0011105807454519746,0.25,0.2424634505630338,0.25
9.0,0.9999832291355876,0.004252502621379278,0.0027469829985192836,0.0028127839277128424,0.0018901012497157638,0.001218419319797166,0.0012488762328947166,0.22330697949671588,0.22265896962232115,0.25
10.0,0.9999744866310121,0.005244454816706845,0.0033865611485488995,0.0034717408178947286,0.002077745747566202,0.0013400285451168475,0.0013869972231448844,0.17688743711945118,0.20306766037299173,0.24957651530950553
11.0,0.9999628657368963,0.006320508129925443,0.004084250284229144,0.0041996694928625395,0.002226428332429668,0.0014511839254464562,0.0015247137823369914,0.13008507933854513,0.18330251859425434,0.21992626942151408
12.0,0.9999480154959983,0.007461106301923549,0.004834727553684294,0.004992354940081377,0.002335827674381734,0.0015517794853034412,0.001645786706708033,0.09205867948562285,0.1660602866352558,0.19527827453176674
13.0,0.9999296686367688,0.008648439308952496,0.005632991600893175,0.005842232715787385,0.002413311801392797,0.0016431624448415667,0.0017530174507544576,0.06411333208925973,0.14981417853978968,0.17260991663480113
14.0,0.9999076088139944,0.009868653788486685,0.006474510880184811,0.006742715858257882,0.002467344429651477,0.0017258528751424925,0.0018475254420005395,0.04360713408310667,0.13353660396944983,0.15157167576141733
15.0,0.9998816618004,0.011111572823476919,0.007354886127999792,0.007687717132115376,0.002504170901057426,0.001799815355524987,0.0019302340676664502,0.02890656710969468,0.11864046144979622,0.1328662139841977
16.0,0.9998516882226227,0.01236979925717363,0.008269903606538386,0.008671696434228358,0.002528664910659619,0.001865782863093058,0.00200245567147167,0.01732944177714048,0.10224020947578241,0.11409740949746491
17.0,0.999817584743887,0.013637810584463768,0.009215337135945379,0.009689423142442458,0.002543447982597492,0.0019229251167221508,0.0020641688181600175,0.010470546177241385,0.09065093015718396,0.10092742935303801
18.0,0.9997792686198388,0.01491173118336565,0.01018740931761092,0.010736433415747492,0.00255248072296267,0.0019738391341102583,0.0021184989926993155,0.003860463531372786,0.0773260248977669,0.08659421377202138
19.0,0.9997366759996246,0.016188728660183713,0.01118275973281725,0.011808878454241821,0.0025559711347750754,0.002017573673541724,0.002164809089621796,-0.00013867010050033933,0.06504976605897832,0.0741612463064037
20.0,0.999689772667543,0.017466572350783586,0.012197939147911924,0.012903005648883394,0.00255611046221756,0.0020546881197165212,0.0022041654612379837,-0.0035160459930836333,0.05225392887841298,0.062308284010122665
21.0,0.9996385447572561,0.018743713050000103,0.01322957329377479,0.014015400356727676,0.002553419761522446,0.002084892783989225,0.002236899243554167,-0.006068200462602983,0.04048295079858287,0.05129742370566111
22.0,0.9995830032500285,0.020018907138540345,0.014274358554161615,0.015142841823754553,0.0025485909125510936,0.0021087362116879063,0.0022634868663947536,-0.006424431629158936,0.030841067189848494,0.04140535553624335
23.0,0.9995231678372805,0.021291542957617208,0.015329425257342736,0.016282379319110644,0.0025434667552665454,0.0021273671370276945,0.0022845569341140275,-0.007101201806618236,0.021651454933163675,0.033165381205716854
24.0,0.9994590645780924,0.02256140294819834,0.016392255256495136,0.017431445645713604,0.002537777325986074,0.002141026194725861,0.0023010334073484268,-0.008803926139812278,0.009416379368185932,0.024124454912248464
25.0,0.999390753185048,0.02382799555180597,0.017459975451602043,0.018587585465441835,0.002530660309221617,0.0021480569915835594,0.002312476997280454,-0.010206549230509988,-0.0017711071643909779,0.017405889086033546
26.0,0.9993183237627846,0.025090687148101018,0.018529436996939486,0.019748548679609294,0.0025223667579026454,0.0021490229354048933,0.002320186229611491,-0.010649646267840329,-0.010328558348632525,0.01251823088152355
27.0,0.9992418644877598,0.02634911182413637,0.01959798267530769,0.020912666883088956,0.002513701574389074,0.002145346980611753,0.0023251849300883177,-0.010900465406728907,-0.018056273888039875,0.006851490022670849
28.0,0.999161464746726,0.027603141130327205,0.020663427520644876,0.022078422226583516,0.0025048255611497673,0.00213747641770186,0.0023270440386562166,-0.011069425134324434,-0.025315068921172273,0.0018108395217746158
29.0,0.9990772258249848,0.028852701964249928,0.02172376674546318,0.023244276405241984,0.002495806838321936,0.002125662947416643,0.002326115565307176,-0.01121981511911167,-0.03186335020611657,-0.0027093351351792534
30.0,0.9989892567133694,0.030097743692757674,0.022777154015019677,0.024408851895388266,0.00248666044411177,0.0021102896087074837,0.002322692419384208,-0.01119047211812034,-0.03749240469598277,-0.006639766359725487
31.0,0.9988976701084408,0.031338257069756806,0.023821962709222835,0.025570928579911195,0.002477536804106314,0.0020918529674557565,0.0023171055364534323,-0.011556023621506815,-0.04322317213732823,-0.010787674364524005
32.0,0.9988025882482837,0.03257418768566322,0.024856676574923377,0.026729340336012722,0.0024681039035875066,0.0020702959734206433,0.0023092367344131792,-0.011186018329016684,-0.04825629001889465,-0.014705438647080874
33.0,0.9987041403596167,0.03380555184623106,0.025879864143281674,0.02788292174174059,0.002458978911538049,0.0020459952043902292,0.00229921650275823,-0.011174049806475737,-0.05321040012022467,-0.018947236632708735
34.0,0.9986024610845214,0.03503244299542116,0.026890204167802127,0.0290304938560022,0.0024498608079499685,0.0020189918697457476,0.0022868667788657543,-0.011134707466804478,-0.057748623626369275,-0.02350601439549391
35.0,0.9984976980589044,0.03625488191308683,0.02788644614166631,0.03017079100927043,0.0024407721835344696,0.001989509640192575,0.0022720133846515964,-0.011094203681018782,-0.06168383510962019,-0.02906196625008173
36.0,0.9983900103150395,0.037472886787165705,0.028867486892575935,0.031302368272680466,0.002431713628590627,0.0019578734031700396,0.0022541035598226313,-0.01056305355363904,-0.06548638854108654,-0.035400790586218506
37.0,0.9982795678121837,0.03868656872888744,0.02983233822237078,0.03242353288725422,0.0024230967142501556,0.0019241527556474094,0.0022327033922907983,-0.010527427999829404,-0.06897967290911813,-0.041296610453889514
38.0,0.9981665500810198,0.03989603392291478,0.03078007702472386,0.03353254590586223,0.0024145050127637392,0.0018885130189864963,0.0022080606559660124,-0.009284869830174514,-0.07130139570904766,-0.046065080912016755
39.0,0.998051126016751,0.04110153678648198,0.031709980767129435,0.034627888330555745,0.0024069516157069863,0.0018515877204244953,0.002180803178821602,-0.008755972880418891,-0.07392005872987553,-0.05090483318586084
40.0,0.9979334576753852,0.042303434806190844,0.03262144661588984,0.0357081878052555,0.002399837083168831,0.0018132144107949166,0.0021508918035061716,-0.008503659922045383,-0.07577038696784746,-0.054965392917868144
41.0,0.9978137151592277,0.04350187812976725,0.03351392757769788,0.03677217830968522,0.0023929289986325403,0.0017738082003475632,0.002118760564866735,-0.008432149831879022,-0.07762374707153548,-0.058889532933383254
42.0,0.9976920692842789,0.044696920881957855,0.03438697412998871,0.037818727650586845,0.0023860754158651323,0.0017333659625600284,0.0020844859522945527,-0.008651116664993035,-0.07926101629000895,-0.06248386231976403
43.0,0.9975686959380786,0.045888519008472066,0.035240161324616597,0.038846772548376575,0.0023790323300989197,0.0016920033792235257,0.0020482520863480953,-0.009236292824161168,-0.0809441141510852,-0.0660172624077805
44.0,0.9974437783869154,0.04707649146748657,0.03607308141772704,0.039855309625894536,0.0023714921736352787,0.0016496940112315486,0.002010093661206669,-0.009046760543352003,-0.08225344196604557,-0.0690835916950765
45.0,0.9973174950796614,0.04826074322113498,0.03688537261691724,0.0408434077751177,0.0023641053575768622,0.0016066392204512952,0.001970271057903384,-0.008510214668938783,-0.08335609748671872,-0.07180513854142304
46.0,0.997190007976997,0.04944141461692762,0.03767675753462014,0.04181024340029013,0.002357163225686953,0.00156295024980619,0.001928976223575145,-0.008120213892601131,-0.08413593211212451,-0.0740155430006205
47.0,0.9970614698459863,0.05061868900612592,0.038447028297073436,0.04275511299232821,0.0023505427505617557,0.0015188015664280377,0.0018864934693427105,-0.008591828580799944,-0.08468320698150963,-0.07601834344450101
48.0,0.9969320367947582,0.051792538969251324,0.03919603986266273,0.04367742412801302,0.0023435205416710166,0.001474318577432856,0.0018429384019454827,-0.009352054388526184,-0.08518489499787442,-0.07788555509833167
49.0,0.9968018739964877,0.05296269632966995,0.03992367292886173,0.04457664337353041,0.0023358543388558852,0.0014295250877966602,0.0017983867620990754,-0.010999995520210507,-0.0854289718396521,-0.07942629933824423
50.0,0.9966711559915901,0.05412864734115033,0.04062983519047404,0.045452313954296435,0.0023267988752957063,0.0013845597243302872,0.0017530206070133715,-0.013951101122954609,-0.08548197892905397,-0.08074645768418504
51.0,0.9965400779536501,0.05528942020885109,0.041314469702425874,0.04630407798789873,0.002315260082427903,0.0013395246746046698,0.001706963406389456,-0.01760993084382207,-0.0851459599039105,-0.08166479110383938
52.0,0.9964088542967849,0.05644362260729991,0.04197757223766073,0.04713168758876698,0.0023006438651171877,0.001294629236632391,0.001660439607928891,-0.021354578593922483,-0.0845449617707779,-0.0822255575631728
53.0,0.9962777042806209,0.05758969682263739,0.04261921088432648,0.04793501472628939,0.0022828783239585847,0.0012500155522808215,0.0016136489168573458,-0.026922345743835632,-0.0833366135314257,-0.08226002087627504
54.0,0.9961468637290666,0.05872568591497846,0.043239542473929735,0.04871408074884511,0.0022604328950687263,0.0012060113471033342,0.0015668848985229634,-0.03222964694530259,-0.08368139753880648,-0.08361597127081727
55.0,0.9960166043068207,0.05984930823593086,0.043838583175409,0.049468807080457755,0.0022335264295662524,0.0011617724040914048,0.0015194137414099023,-0.037605053413581134,-0.08294169114186636,-0.08389126558041275
56.0,0.9958872067313717,0.06095832476830232,0.044416285872534114,0.0501990802656575,0.002202101890097552,0.001117885099510629,0.001471837498815727,-0.042403022574327695,-0.08207724096563569,-0.08397172387795879
57.0,0.9957589354262532,0.06205060339552876,0.044972757986522054,0.05090497201758933,0.0021666442917847336,0.0010744159191481005,0.001424264996932586,-0.046667099986700815,-0.08110690906618714,-0.0838801129705572
58.0,0.9956320410881314,0.06312424565255333,0.0455081434657349,0.05158659949812081,0.00212760209319872,0.0010314216099282134,0.0013767919836319101,-0.05043085106641681,-0.08003109290924439,-0.08361951569509955
59.0,0.9955067602139116,0.06417757045124403,0.04602262018470787,0.05224412168570888,0.002085395574311771,0.000988959139226708,0.0013295121280138898,-0.053729088547952296,-0.07886443741658938,-0.08320610576654797
60.0,0.9953833146157005,0.06520909964958307,0.0465163978760713,0.05287773667799231,0.0020404157877866535,0.0009470779193522504,0.001282509786452286,-0.056592720863365316,-0.07760548066218158,-0.08264496563633246
61.0,0.9952619110706695,0.06621754415663136,0.046989716290552715,0.05348767877517863,0.0019930278358264797,0.0009058284951855583,0.0012358662147646834,-0.05905384935887316,-0.07628212483857368,-0.08196390768040429
62.0,0.9951427412724365,0.06720179063142818,0.047442841645634684,0.05407421386666113,0.0019435698670757662,0.0008652465735196572,0.001189646969475223,-0.061131575306739565,-0.07487943670399246,-0.08115276007882317
