time,q0,q1,q2,q3,omega_x,omega_y,omega_z,Total_torque_x,Total_torque_y,Total_torque_z
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
1.0,0.9999999983645036,4.198154751638571e-05,2.711522364607974e-05,2.7808400679440387e-05,0.0001679262678328539,0.00010846191940725477,0.00011123250030012233,0.2,0.19999999999999998,0.2
2.0,0.9999999738320527,0.00016792642138117013,0.00010846396819793851,0.00011123029452972,0.0003358534675977512,0.00021693613560263007,0.00022245177039361726,0.19999999999999987,0.1999999999999997,0.19999999999999976
3.0,0.9999998675247302,0.00037783530555483716,0.00024405544992073063,0.00025025575196118636,0.0005037825312162991,0.0003254349425852236,0.00033364457692735487,0.2,0.2,0.2
4.0,0.9999995813125747,0.000671709306658888,0.00043390501403414136,0.0004448682069391158,0.0006717143905889563,0.00043397062877496124,0.00044479768025614084,0.19999999999999996,0.2,0.19999999999999993
5.0,0.9999989778134675,0.00104954990400563,0.0006780341118713669,0.0006950444319142646,0.0008396499775837661,0.0005425554742201924,0.0005558978312990339,0.19999999999999996,0.2,0.2
6.0,0.9999978803930417,0.0015113588796374104,0.0009764702688863681,0.0010007545027426764,0.0010075902240242616,0.0006512017478019078,0.000666931768398487,0.2,0.19999999999999982,0.19999999999999996
7.0,0.9999960731646843,0.002057138228372907,0.001329247043494113,0.0013619617536118215,0.0011755360616762618,0.00075992170443345,0.0007778862141832543,0.2,0.19999999999999987,0.2
8.0,0.9999933009897182,0.0026868900478575334,0.001736403976724198,0.001778622721995077,0.0013434884222332855,0.000868727582254597,0.0008887478724360124,0.19999999999999998,0.2,0.19999999999999996
9.0,0.9999892694778756,0.0034006164086145423,0.002197986532663955,0.0022506870836615464,0.001511448237300306,0.0009776315998188908,0.0009995034249666442,0.2,0.19999999999999996,0.2
10.0,0.9999836449881857,0.004198319204093049,0.002714046029662896,0.0027780975777732223,0.0016794164383755659,0.0010866459532730952,0.0011101395284921428,0.2,0.2,0.2
11.0,0.9999760546304305,0.0050799999807089906,0.003284639562266166,0.003360789922106622,0.0018473939568301799,0.0011957828135276609,0.001220642811524091,0.19999999999999998,0.2,0.2
