time,q0,q1,q2,q3,omega_x,omega_y,omega_z,Total_torque_x,Total_torque_y,Total_torque_z
0.0,1.0,0.0,0.0,0.0,0.1,0.08,0.15,-0.25,-0.25,-0.25
1.0,0.9951476707187524,0.049943742907396525,0.04114107670669455,0.07412251894569839,0.10026240470302805,0.08475727549157952,0.14686492416223046,-0.25,-0.24999999999999997,-0.24999999999999994
2.0,0.9806652966385018,0.09929734925111623,0.08431514502891993,0.14603618975916055,0.10054096914417861,0.08942118458673959,0.14354996548356444,-0.24999999999999986,-0.25,-0.24999999999999997
3.0,0.9567402616388886,0.14735093776383013,0.12912366762176405,0.2150880084039444,0.10083335840609339,0.0939859258497924,0.14005721786932415,-0.25,-0.2499999999999999,-0.25
4.0,0.9236583222050067,0.19341023398262955,0.1751383765608932,0.2806676580367452,0.10113715681591136,0.09844556262207145,0.1363890280914922,-0.2499999999999999,-0.25,-0.24999999999999983
5.0,0.8817999237562222,0.23680514830827723,0.2219054996342035,0.3422136254305343,0.10144987722366537,0.10279403593057548,0.132548024357684,-0.25,-0.24999999999999994,-0.24999999999999992
6.0,0.8316355019087974,0.2768981086713939,0.26895031314358764,0.399218684982396,0.10176897109554925,0.10702518084165902,0.12853714397578422,-0.24999999999999994,-0.25,-0.24999999999999994
7.0,0.7737198222437778,0.3130920502497465,0.3157819818203567,0.45123468915307813,0.10209183943146385,0.11113274623220463,0.12435965970893312,-0.25,-0.25,-0.25
8.0,0.7086854226936832,0.3448379663275918,0.3618986427028212,0.49787661227495117,0.10241584450151653,0.11511041790731799,0.12001920440504599,-0.25,-0.24999999999999978,-0.25
9.0,0.6372352327486808,0.37164192720159694,0.40679268620025566,0.5388258035242911,0.1027383223799353,0.11895184494652039,0.1155197934798522,-0.24999999999999997,-0.25,-0.25
10.0,0.5601344531906499,0.39307147807787,0.44995618414319494,0.5738324144049248,0.10305659623741457,0.1226506691102862,0.11086584483349732,-0.25,-0.25,-0.25
11.0,0.47820178886023523,0.4087613322141243,0.49088641147380924,0.6027169762399026,0.10336799033454029,0.12620055708638991,0.10606219578892961,-0.2499999999999999,-0.24999999999999992,-0.24999999999999986
12.0,0.392300134910581,0.4184182821624611,0.5290914054470617,0.6253711138063606,0.1036698446400191,0.1295952353018853,0.10111411665634655,-0.24999999999999992,-0.25,-0.2499999999999999
13.0,0.30332682396216637,0.4218252598598791,0.5640955038832373,0.6417573922502856,0.10395952997838633,0.13282852697281192,0.0960273205525043,-0.25,-0.24999999999999992,-0.25
14.0,0.21220354740663255,0.4188444854659297,0.5954448022269307,0.6519083056410259,0.10423446359316589,0.13589439101123954,0.0908079691370841,-0.25,-0.25,-0.25
